n_neurons_pre,n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,stride,p,runtime_s
66,16,0.993354465580814,0.867836353917468,18.5207411159364,0.0,-0.44804633945877065,9,3,0.7728918500954693,9,80,40,1,2442.4
121,36,0.9953915932187146,0.9306102672876244,18.294756029141208,0.0,-0.4144255468592951,5,5,0.6167980138986576,6,120,60,1,2998.0
90,20,0.9975721756485204,0.9469938511579714,18.349316068441112,0.0,-0.40982784969709024,4,6,0.8284934481555126,5,160,80,1,2354.5
115,34,0.9899082166019577,0.8970993266192815,18.594329669842782,0.0,-0.43037527177723894,8,6,0.5024732068269011,5,120,60,1,8775.7
100,23,0.9928686969584946,0.8619390008598752,18.653500984123436,0.0,-0.4521977895711157,6,2,0.8408144315945107,7,50,25,1,2335.9
73,13,0.9981053154305609,0.9144020732234712,17.93852102555329,0.0,-0.42062462069629963,4,8,0.5015881996938449,8,80,40,1,1911.1
58,3,0.9988026277537289,0.8633933846203785,18.680219025777145,0.0,-0.45960384735865106,4,5,0.5,12,80,40,1,1222.8
42,12,0.9925612030493137,0.889452851103206,18.2264598163673,0.0,-0.43215606186224753,10,7,0.5224456883805061,12,50,25,1,1706.1
56,3,0.9994527801907248,0.9075251824442389,18.581192075027406,0.0,-0.43667474986598986,4,6,0.5298171426739218,12,50,25,1,1156.6
88,30,0.995033189664991,0.9222068927939886,18.417179702620455,0.0,-0.4203432238278682,5,8,0.8238877192270905,6,120,60,1,2746.6
