n_neurons_pre,n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,stride,p,runtime_s
393,342,0.9850048802250836,0.89386003597846,15.243544798720897,0.0,-0.36854580779813123,9,3,0.7728918500954693,9,80,40,1,8582.5
615,512,0.9880954417650321,0.9071160747591049,14.512504350534327,0.0,-0.35079105783555325,5,5,0.6167980138986576,6,120,60,1,10388.0
541,395,0.9919471759691595,0.8979043340118322,14.092482651379648,0.0,-0.35127262941246623,4,6,0.8284934481555126,5,160,80,1,6790.9
791,710,0.9662235572145185,0.9153728228156639,15.240495815157201,0.0,-0.3382228328041217,8,6,0.5024732068269011,5,120,60,1,26546.1
462,383,0.9905882970213897,0.8937145984904271,14.446236659837995,0.0,-0.3589899727591964,6,2,0.8408144315945107,7,50,25,1,7677.7
367,225,0.9998553950296994,0.8885847433117672,11.35406041684767,0.0,-0.3043379246936139,4,7,0.5145066269878413,12,50,25,1,3309.4
849,768,0.97378687660878,0.9006003911010505,14.834491576403751,0.0,-0.34549876165602383,10,8,0.5,5,50,25,1,17116.7
317,259,0.9836723407695814,0.8933129014240967,14.596849661875934,0.0,-0.35557589315962607,8,3,0.5,12,120,60,1,6233.5
310,257,0.9897290574023427,0.8980882419964412,14.491277249711402,0.0,-0.3572151090494912,9,8,0.5,12,120,60,1,6976.4
307,244,0.9926157587317953,0.8915497981753758,13.326522432905513,0.0,-0.3399733619313042,6,8,0.85,12,50,25,1,4063.9
