n_neurons_pre,n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,stride,p,runtime_s
30,8,0.9938941941226122,0.8753526827969691,17.886968491672423,0.0,-0.4355622840840598,4,2,0.7728918500954693,9,40,20,1,512.6
44,5,0.9990196083782056,0.9179824561403509,16.48417603106053,0.0,-0.3966254943607832,2,2,0.6167980138986576,6,60,30,1,565.2
39,2,0.9992051081483753,0.9164450354609929,18.66050420887659,0.0,-0.43346750637621567,2,3,0.8284934481555126,5,80,40,1,316.2
58,16,0.995488429061819,0.9227061299018409,18.670817689088558,0.0,-0.4250430113375629,4,3,0.5024732068269011,5,60,30,1,1075.1
35,3,0.9985595869964722,0.8843235308752551,18.64887755167105,0.0,-0.4484175915871386,3,1,0.8408144315945107,7,25,12,1,497.5
44,14,0.9951864836847623,0.8649157141131025,18.530892176189393,0.0,-0.45161980428403314,3,1,0.6931415272418592,6,60,30,1,636.7
41,5,0.9990481304376183,0.9787450980392156,18.48425672895084,0.0,-0.39876585962561684,2,2,0.6003821088944635,6,80,40,1,479.8
39,12,0.9961877543251841,0.9413403181237493,18.53987314145918,0.0,-0.41468979220928776,3,2,0.654945279303144,6,60,30,1,668.4
37,8,0.9965636938622838,0.9314558017672667,18.49628762648655,0.0,-0.41970578919629115,3,4,0.7482873398012023,6,40,20,1,583.0
17,3,0.9959757775119745,0.9612692398950932,18.614048078054697,0.0,-0.4068286776567781,5,4,0.5573355432877971,12,25,12,1,427.3
