n_neurons_pre,n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,p,stride,runtime_s
9,1,0.9999597740964048,0.9228070175438596,3.8024784539940524,0.0,-0.008602756914698766,14,6,0.7728918500954693,9,160,1,80,1358.9
3,1,0.9999353289604187,0.9367588932806324,4.153889179229736,0.0,-0.022788218170543897,10,8,0.5500033862726793,10,100,2,50,837.9
11,3,0.9968850439839271,0.9412204084024903,3.8493532853832786,0.0,0.0014578487269024352,15,4,0.8472740457519261,9,240,1,120,2082.7
29,3,0.9999292758192413,0.9593363499245852,3.3826165149434986,0.0,0.03783141634310458,4,10,0.6399513401003394,5,320,1,160,842.8
0,0,1.0,0.0,inf,0.0,-inf,5,11,0.633861696943507,12,160,2,80,443.8
0,0,1.0,0.0,inf,0.0,-inf,7,12,0.5931336323433419,11,100,1,50,475.2
16,6,0.9994623296567927,0.9704515201853603,3.7740398941115365,0.0,0.01875147525908099,10,7,0.7442701724977059,7,320,1,160,1393.9
21,6,0.9994952988604344,0.9133483895279101,3.649552258559771,0.0,-0.0019064718918625544,11,7,0.7474765335782598,7,320,1,160,1434.2
21,6,0.9994952988604344,0.9133483895279101,3.649552258559771,0.0,-0.0019064718918625544,11,7,0.7483356007891673,7,320,1,160,1410.3
21,6,0.9994952988604344,0.9133483895279101,3.649552258559771,0.0,-0.0019064718918625544,11,7,0.7485840497159635,7,320,1,160,1423.2
