n_neurons_pre,n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,stride,p,runtime_s
56,22,0.9947603535887641,0.8743647176510045,22.141639471450805,0.0,-0.4969325713558405,14,6,0.7728918500954693,9,160,80,1,2420.6
135,24,0.9987055259852892,0.9193857117003926,22.202819367680373,0.0,-0.47907593303754825,5,10,0.6167980138986576,6,160,80,1,1714.7
33,4,1.000566447059515,0.9755253324151619,21.961109925223827,0.0,-0.451334916531663,5,13,0.8284934481555126,5,240,120,1,1101.2
532,203,0.9755147897186628,0.8952921287815413,22.144187823293937,0.0,-0.4650737102524935,11,11,0.5024732068269011,5,160,80,1,6937.7
126,46,0.9914283384027249,0.8818209803555742,22.12078183784775,0.0,-0.48888725854772297,9,5,0.8408144315945107,7,100,50,1,2210.3
62,29,0.9959000811857911,0.876809393251892,21.967147541241744,0.0,-0.49431363529839134,16,6,0.5428461914124132,9,240,120,1,3387.5
500,200,0.976929898770624,0.8973997812139913,22.120997525315016,0.0,-0.46514905978518173,16,16,0.5,5,160,80,1,9831.8
327,133,0.9807185563074998,0.901147623567288,22.15955899773269,0.0,-0.46796918801635307,16,16,0.85,5,240,120,1,7962.4
18,8,0.9998627503186467,0.9076098851073207,22.048808262010844,0.0,-0.4851448029298007,15,14,0.5035633701765879,12,160,80,1,2083.6
26,7,0.9987938255557374,0.8812496766320617,22.212580667405884,0.0,-0.4994978662511501,15,4,0.7056088568696226,11,160,80,1,2249.3
