n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,p,stride,runtime_s
17,0.9930079458186336,0.8770723352796848,6.506566012322454,0.0,-1.1592052099347103,4,2,0.7508609501227463,8,40,1,20,125.7
8,0.9964024424552917,0.9110615174113683,6.574830055236816,0.0,-1.1483209586070666,3,2,0.4642900680648734,9,25,2,12,56.4
8,0.995055453069361,0.9111482165980984,6.890823814970498,0.0,-1.1591915073556005,5,1,0.846495201681048,9,60,1,30,127.8
435,0.8329474525731333,0.8840985709400501,6.1194577655153966,0.0,-0.979747636901636,2,3,0.5799374372718651,3,80,1,40,867.0
0,1.0,0.0,inf,0.0,-inf,2,3,0.5721078960702233,12,40,2,20,38.5
3,0.9963926076889038,0.8819164274536355,6.873355865478516,0.0,-1.1744797091403285,4,2,0.40596923252193995,11,60,1,30,67.2
5,0.9988744854927063,0.9211394549159151,6.556998252868652,0.0,-1.1450469744881835,2,2,0.5084614597117053,9,60,2,30,54.0
3,0.9985392689704895,0.9181818423567462,6.821128845214844,0.0,-1.1564970171162994,3,2,0.48200623950462806,10,40,1,20,57.3
26,0.9832568164521114,0.8535932523555316,6.584009363353222,0.0,-1.1642727901457408,4,1,0.7790281485677495,7,40,2,20,185.6
18,0.9929064158266308,0.8764303203561206,6.394228676074762,0.0,-1.1549011918339551,4,2,0.6566997884824297,8,80,2,40,126.5
422,0.8194721339593888,0.8919851946127384,6.253125857436166,0.0,-0.9679092952620476,4,4,0.7185366401231374,3,80,1,40,1221.0
445,0.8246797122505163,0.8853962539030041,6.5274643238711185,0.0,-0.9875490578759982,5,4,0.7132458387845809,3,60,2,30,1623.2
0,1.0,0.0,inf,0.0,-inf,2,4,0.4,12,25,2,12,35.2
481,0.8034801845916077,0.8833688283296885,6.205102041568793,0.0,-0.9542325880136128,4,4,0.6676844956542599,3,80,1,40,1221.0
466,0.8082918388116604,0.8817636669614445,6.186208057778893,0.0,-0.9590590977760893,4,4,0.6675696095160062,3,80,1,40,1209.5
487,0.8045670712320474,0.8814623683195275,6.213112343769118,0.0,-0.9566060456461811,4,4,0.6680980293509147,3,80,1,40,1206.0
3,0.9963926076889038,0.8819164274536355,6.873355865478516,0.0,-1.1744797091403285,4,2,0.4197117485813197,11,60,1,30,63.4
477,0.8075285714070186,0.881216632995698,6.20244066956012,0.0,-0.9592462400483641,4,4,0.6684667973317096,3,80,1,40,1204.5
482,0.8038386235681405,0.882713450132626,6.1881978017107055,0.0,-0.9542140445617426,4,4,0.6687571754545379,3,80,1,40,1205.2
480,0.8102627388792919,0.8822155511200287,6.181499018535006,0.0,-0.9606074047864757,4,4,0.6691167098488006,3,80,1,40,1203.7
479,0.8185567550201781,0.8836560738820035,6.1814952873638855,0.0,-0.9681810036803604,4,4,0.6693119494746573,3,80,1,40,1204.4
479,0.8185567550201781,0.8836560738820035,6.1814952873638855,0.0,-0.9681810036803604,4,4,0.6692518466953492,3,80,1,40,1205.5
3,0.9965451682617189,0.8230233006599926,6.901971991301458,0.0,-1.205167222174337,5,2,0.4479391649302891,11,60,1,30,72.5
485,0.8103393312610987,0.8829873172429261,6.181530625225335,0.0,-0.960299434442074,4,4,0.6690782996269434,3,80,1,40,1206.4
3,0.9965451682617189,0.8230233006599926,6.901971991301458,0.0,-1.205167222174337,5,2,0.4123086424996178,11,60,1,30,72.0
3,0.9965451682617189,0.8230233006599926,6.901971991301458,0.0,-1.205167222174337,5,2,0.4015766974056947,11,60,1,30,72.4
3,0.9960885643959045,0.8735002465830632,6.90686559677124,0.0,-1.1796578745860473,5,2,0.42664347138270303,11,25,1,12,52.2
615,0.815407728541576,0.8990896045089463,6.254563006031844,0.0,-0.9603521215967895,4,4,0.4426199333603651,3,80,1,40,1427.0
15,0.9846798475246877,0.9002942449593357,6.832902205161403,0.0,-1.152032653043542,5,1,0.8130461735807777,8,60,1,30,157.9
497,0.8313086561972008,0.8806299487753617,6.138428413487889,0.0,-0.9806414743999018,4,4,0.6389364469603553,3,80,1,40,1254.8
