n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,p,stride,runtime_s
4,0.998202919960022,0.9195746345067068,4.429433822631836,0.0,-0.04596606074194565,18,6,0.7508609501227463,8,160,1,80,11011.0
1,0.9999403953552246,0.8971119133574007,4.160173416137695,0.0,-0.043675494688733996,14,8,0.4642900680648734,9,100,2,50,4607.5
2,0.9986191145382812,0.9269393578461196,4.5092402790315935,0.0,-0.04707745559469367,19,4,0.846495201681048,9,240,1,120,12767.3
612,0.9629659269750568,0.9256107684736666,4.252875645337829,0.0,0.0022067566767468016,8,10,0.5799374372718651,3,320,1,160,10299.1
0,1.0,0.0,inf,0.0,-inf,9,11,0.5721078960702233,12,160,2,80,4925.7
0,1.0,0.0,inf,0.0,-inf,14,5,0.5261304779411757,11,100,1,50,4638.9
10,0.9974140288777749,0.9255516895869244,4.3198975402171875,0.0,-0.03607439722743794,14,7,0.7133969882180096,6,320,1,160,7960.9
10,0.9974140288777749,0.9255516895869244,4.3198975402171875,0.0,-0.03607439722743794,14,7,0.7163704677536553,6,320,1,160,7855.8
10,0.9974140288777749,0.9255516895869244,4.3198975402171875,0.0,-0.03607439722743794,14,7,0.7175353852762167,6,320,1,160,7883.4
10,0.9974140288777749,0.9255516895869244,4.3198975402171875,0.0,-0.03607439722743794,14,7,0.7177134321066482,6,320,1,160,7918.4
