n_neurons,recon_error,spatial_compactness,trace_sparsity,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,stride,p,runtime_s
93,0.9996702139017731,0.8286609041574629,20.415902708616283,-0.5000365960241636,4,2,0.7728918500954693,9,40,20,1,161.3
130,0.9997699937798541,0.8549729662841236,22.025184496364908,-0.5083848918088033,2,2,0.6167980138986576,6,60,30,1,195.5
84,0.9999996001490411,0.7919293366259926,21.20907213360028,-0.5297425386000552,2,3,0.8284934481555126,5,80,40,1,238.4
152,0.9997574659959996,0.841840186664818,22.002826144361432,-0.514492060008898,4,3,0.5024732068269011,5,60,30,1,455.8
119,0.9999056227968194,0.8071306251603165,20.039967527325896,-0.5054799718209605,3,1,0.8408144315945107,7,25,12,1,102.3
68,0.9999609746913365,0.7987421130823928,21.33105367756346,-0.528149287057739,2,1,0.8278591502598037,12,25,12,1,63.0
99,0.9998128787153322,0.8049042903676765,22.26219689770496,-0.536804441014752,2,1,0.6926929778917359,7,40,20,1,100.8
206,0.999619359165515,0.8437305954518822,20.931403596863216,-0.49879721181228687,4,4,0.5143914774570654,5,25,12,1,201.9
101,0.9998875149153971,0.790606238446992,21.05318649321611,-0.5279965539634089,5,4,0.790809899352617,12,25,12,1,114.6
137,0.999963827252791,0.8223820133837094,21.02734456179889,-0.5115309517303078,3,1,0.5216417334977946,7,60,30,1,238.4
126,0.9982540709816133,0.8496441521716447,22.519605751843592,-0.5159381160008494,5,1,0.5263994536979119,9,60,30,1,409.5
107,0.9997713188981486,0.7612792619063526,18.38057603017032,-0.5037309553998205,3,4,0.5479664887719374,12,40,20,1,113.5
50,0.9997609955932686,0.8002878409791587,20.58591613500262,-0.5172975708425697,4,1,0.8467080003930626,12,80,40,1,286.9
92,0.9998455575954319,0.8413926407668539,20.337523692816767,-0.4927567972700086,3,4,0.5118676301124861,12,80,40,1,237.5
111,0.9991094268187836,0.8407473868725895,21.062635484071823,-0.5021828771899225,3,4,0.5524609414758797,5,80,40,1,433.7
