n_neurons_pre,n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,p,stride,runtime_s
11,1,0.9991152417185425,0.8045977011494253,26.367745240235998,0.0,-0.5889327856509484,4,2,0.7508609501227463,8,40,1,20,150.2
20,2,1.0000812744451453,0.9226464779460171,23.756018973118607,0.0,-0.5003800182679717,3,2,0.4642900680648734,9,25,2,12,81.0
22,2,1.0000446229528561,0.9092827004219409,25.956388070851204,0.0,-0.5325707514839341,5,1,0.846495201681048,9,60,1,30,309.6
14,2,1.0000063314577763,1.0,17.972902537326334,0.0,-0.3818112528554803,2,3,0.5799374372718651,3,80,1,40,214.7
13,0,1.0,0.0,inf,0.0,-inf,2,3,0.5721078960702233,12,40,2,20,69.9
12,1,1.000048289998893,0.9523809523809523,25.836183979275617,0.0,-0.510090004237762,2,2,0.6683892225807853,8,25,1,12,59.3
24,3,1.0000390719672256,0.9559990145356,20.700931176134542,0.0,-0.4438598216288119,3,2,0.6296755058864988,8,60,2,30,195.0
17,4,0.9993597791200944,0.8436291134103152,22.274307892203957,0.0,-0.5201408104879206,3,2,0.42512155011143965,8,80,1,40,247.2
20,5,0.9955669351342826,0.93967355338202,24.83532313335732,0.0,-0.4994611997466486,5,4,0.85,3,80,2,40,470.8
4,0,1.0,0.0,inf,0.0,-inf,2,4,0.4,12,60,1,30,117.3
14,0,1.0,0.0,inf,0.0,-inf,3,3,0.6825809218753598,3,80,1,40,259.9
20,1,0.9999133870758183,0.9354838709677419,23.307782233251007,0.0,-0.48871727108770324,3,2,0.5256838756937485,8,60,2,30,211.7
12,1,1.0000389289061296,0.9523809523809523,25.461237371978196,0.0,-0.5058595819738683,2,2,0.6695478690542144,8,25,1,12,64.9
12,1,1.000040901213623,0.9523809523809523,25.562650584655344,0.0,-0.5070091125639702,2,2,0.6699961924359208,8,25,1,12,65.4
8,1,1.0000014503950045,0.8,11.117812724275925,0.0,-0.3477112520326667,2,3,0.6864193699136614,3,80,1,40,178.3
