input,circularity_rejected,max_area_rejected,in_mask_rejected,final,trial
22,5,8,8,1,1
23,3,9,9,2,2
28,1,12,13,2,3
27,8,14,3,2,4
16,2,11,3,0,5
18,3,11,2,2,6
30,2,13,6,9,7
29,2,13,7,7,8
25,2,13,8,2,9
7,3,4,0,0,10
29,3,15,7,4,11
34,4,16,5,9,12
21,7,9,3,2,13
18,5,10,2,1,14
23,5,13,4,1,15
33,4,18,8,3,16
29,3,19,4,3,17
26,4,6,11,5,18
18,4,7,6,1,19
32,5,13,12,2,20
37,2,26,4,5,21
27,5,15,6,1,22
27,3,7,9,8,23
22,2,15,4,1,24
28,5,17,6,0,25
24,2,16,5,1,26
22,2,14,5,1,27
21,2,14,5,0,28
26,2,10,12,2,29
20,1,12,4,3,30
