n_neurons,recon_error,spatial_compactness,trace_sparsity,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,stride,p,runtime_s
365,0.9999974729351894,0.8170575326458406,18.807066901522322,-0.48137770975088584,9,5,0.7728918500954693,9,160,80,1,1578.0
601,0.9999869851975699,0.8194269162735995,16.980081512924972,-0.4506526383853478,5,7,0.6167980138986576,6,160,80,1,1168.0
306,0.9999864382841067,0.8540259616858549,20.59161630210531,-0.48893814124902246,4,8,0.8284934481555126,5,240,120,1,988.0
798,0.999330792221878,0.8412906099520339,17.683360597464088,-0.45029212233744575,8,8,0.5024732068269011,5,160,80,1,2102.5
338,0.9999944141912429,0.8279157105986722,19.189184281260534,-0.48175466760203495,6,4,0.8408144315945107,7,100,50,1,1050.9
308,0.99995160897488,0.8305772293437632,11.706317595383972,-0.3415594484961537,4,9,0.561113580753998,12,100,50,1,649.2
317,0.9996544047315213,0.8431246037910366,13.2925084190701,-0.37025070541649935,4,4,0.5,12,240,120,1,796.0
312,0.9999880446734918,0.8418675115832119,16.515280495871714,-0.4322301870303266,6,5,0.6156090832294804,12,240,120,1,1002.2
365,0.9997394640252129,0.8482149647667486,11.909437310606199,-0.3371169338173568,4,10,0.5,12,100,50,1,674.1
436,0.9997342697132426,0.8245934400963377,12.093600121759701,-0.35299468762259234,4,8,0.5015948510144975,10,100,50,1,719.7
365,0.9997394640252129,0.8482149647667486,11.909437310606199,-0.3371169338173568,4,4,0.5,12,100,50,1,664.9
379,0.9999968861581229,0.8395411839122019,17.205916319134886,-0.44481010707072466,10,10,0.5,12,100,50,1,1507.3
114,0.9999706988453984,0.8069312736042409,12.93712501925412,-0.38212697323799616,4,5,0.8200088976987178,12,100,50,1,573.2
316,0.9999664140213841,0.845785965173348,12.480861533716935,-0.3516958342924373,4,6,0.5,12,160,80,1,669.5
380,0.9998356755547665,0.8348597125966628,12.962702905506164,-0.3673799288210003,5,7,0.5007403069259051,12,100,50,1,703.9
