n_neurons,recon_error,spatial_compactness,trace_sparsity,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,stride,p,runtime_s
334,0.999994639897431,0.8148168257327016,17.97605101702286,-0.4697254098935063,9,5,0.7728918500954693,9,200,100,1,1658.6
581,0.9999939316308664,0.8298092923066006,17.169487959000953,-0.4486459254614387,5,7,0.6167980138986576,6,200,100,1,1243.1
305,0.9999864382857184,0.8541638178855211,20.568428946891935,-0.4885501310355288,4,8,0.8284934481555126,5,240,120,1,993.5
766,0.9993934144907326,0.8389402880295525,16.870421969712183,-0.4382248663330446,8,8,0.5024732068269011,5,200,100,1,2375.1
307,0.999998883610892,0.8388338513747111,19.92258210155686,-0.4871005758396212,6,4,0.8408144315945107,7,160,80,1,1147.3
358,0.9998968083795575,0.8333267961032625,17.45210583173468,-0.4519036382978693,8,6,0.5008651789118623,12,240,120,1,1307.3
316,0.9999664140213841,0.845785965173348,12.480861533716935,-0.3516958342924373,4,4,0.5,12,160,80,1,667.1
799,0.9997044172787724,0.8543085064100019,16.548027497139437,-0.4253480174270685,10,10,0.5,5,160,80,1,2538.9
626,0.9996726624684971,0.8247320653682365,15.128296280767346,-0.4150382619348,4,8,0.5562402067521557,6,160,80,1,1012.5
363,0.999996523734726,0.8374081762298602,17.530891409314062,-0.4512270253773391,10,7,0.5,12,160,80,1,1573.4
779,0.999555373901047,0.8349523629613255,16.114429855860323,-0.42739648616657466,4,4,0.5276988220579327,5,200,100,1,1299.4
317,0.9996544047315213,0.8431246037910366,13.2925084190701,-0.37025070541649935,4,6,0.5,12,240,120,1,789.6
316,0.9999664140213841,0.845785965173348,12.480861533716935,-0.3516958342924373,4,10,0.5,12,160,80,1,683.2
217,0.9999685481314002,0.8384444817528551,12.310859185646503,-0.35193586685606276,4,10,0.6365727357117761,12,160,80,1,619.4
391,0.9999686273434673,0.8346049815034664,12.712831539120247,-0.36219447570736774,4,9,0.5,10,160,80,1,747.5
