n_neurons,Q,F,D,Psi,B,Phi,N,composite_score,gSig,rf,overlap_fraction,nb,decay_time,occupancy_frac,stride,K,nb_patch,runtime_s
26,0.5172278322801603,0.9682522115223732,0.0,0.30296707348980784,0.22091019295288356,0.32741833401818865,0.05232581900173975,1.2880302815991258,10,20,0.43390730008183087,4,0.2,0.07499372895450074,17,1,4,44.1
36,0.5648681555988985,0.9673298185374177,0.0,0.16269449949509027,0.2303643113619636,0.26896596473463324,0.05942342047080074,1.5799352200599095,7,25,0.24286004537658226,4,0.1,0.2304996930667062,12,3,4,39.5
14,0.5331176960428783,0.9679809813861605,0.0,0.2118243262646426,0.22528975848346783,0.4186123869363829,0.02851517030802122,1.3053923661831683,11,22,0.4976634677873653,4,0.25,0.051766576304929354,21,1,4,41.7
79,0.6371625055381009,0.9647022791973239,0.0,0.09197322866915186,0.22458228625213514,0.3797125453290628,0.05489394710744981,1.6824973467029685,3,40,0.31995829151457666,3,0.3,0.10819283510757607,25,14,3,40.1
84,0.6160004614571843,0.9649772170172022,0.0,0.10377619716847747,0.23978249888789546,0.2962223669351516,0.0350913198112701,1.6946339862896291,4,60,0.31473859738014887,4,0.2,0.2649851016840802,37,48,4,52.7
14,0.5692087928031989,0.9617732743536139,0.0,0.21398879801050832,0.23380900343757455,0.23390246420434904,0.030771658666753687,1.5507809253597438,12,60,0.44329231829136306,4,0.2,0.3,53,7,4,43.9
185,0.6221718941925151,0.9676290580228029,0.0,0.1166389585118599,0.21987242625397466,0.31919836483876035,0.05552814190995059,1.6939633808852004,3,60,0.2374480368000988,4,0.15,0.3,28,90,4,67.9
177,0.6055540149684909,0.9652923977699863,0.01694915254237288,0.10878653213839429,0.24710735788440893,0.3734536359626367,0.053189643328916764,1.571777673514632,3,60,0.2738816873289128,4,0.2,0.3,32,90,4,67.7
72,0.6515433215311344,0.9637899385680804,0.0,0.08601589766138346,0.24440812028480624,0.3584960444677124,0.0979042149813715,1.749112686849536,3,40,0.37032923848297794,3,0.15,0.05,29,7,3,36.3
73,0.6424318364471253,0.9628545343221854,0.0,0.08561838231812097,0.24177335994562157,0.3333686139635642,0.05987848304975721,1.7377837724868186,3,40,0.5,3,0.15,0.05,40,7,3,37.7
11,0.47415683478222886,0.9640703095141718,0.0,0.24025096125396767,0.2443977733829733,0.3845427946004284,0.053540766928029816,1.1921617199967616,6,40,0.3385442369493443,3,0.15,0.05,27,2,3,29.0
36,0.575964528297402,0.963269668543985,0.0,0.09322739948962404,0.2504521579103721,0.36494733017564324,0.13157635778871926,1.5975860954126953,4,80,0.2,3,0.15,0.05,32,16,3,36.7
122,0.5936249699230391,0.9651284169704312,0.0,0.06952756268268004,0.23877110950700864,0.3572268901801927,0.2442347526928444,1.7283557255465547,3,15,0.2,3,0.15,0.05,6,1,3,30.3
73,0.6494578089623757,0.9620699314617447,0.0,0.08846483823449966,0.24502457509931486,0.33062801730055036,0.05987848304975721,1.7493196478266675,3,40,0.4983333489308292,3,0.15,0.05,39,7,3,36.4
25,0.515964986791227,0.9639329443287667,0.0,0.20303130181729312,0.2507668534800188,0.42571958434289525,0.0931772248541833,1.2883172174381148,9,25,0.3950671943866499,3,0.2,0.1103487693690145,19,1,3,30.6
39,0.5861323833324014,0.9626112269457403,0.0,0.11045229286762631,0.24292805231703363,0.3776524953233926,0.056089466651043564,1.5533519125865296,4,40,0.5,3,0.15,0.05,40,4,3,36.8
56,0.6367065292959334,0.9641166584585739,0.0,0.18331158772614567,0.24129270501021743,0.367341566350516,0.09418721505970107,1.6133238179985208,3,40,0.2564238796027186,3,0.15,0.05,20,7,3,34.8
54,0.6017928560977145,0.9659836846956119,0.0,0.10912095496102253,0.24133374236161917,0.35980970617375063,0.06595796779179743,1.6129508484713568,5,60,0.24381156718042532,4,0.15,0.18243094374126223,29,22,4,46.1
8,0.6458254380871473,0.9581220731245264,0.0,0.3730345721894284,0.2721557269938471,0.3634500994973833,0.06062462181643484,1.4075227250233033,12,60,0.41294002486229575,3,0.1,0.08165813173162409,49,2,3,32.2
171,0.6173414296814546,0.9683215911366237,0.0,0.0501494951784177,0.22274134269793203,0.295248895232019,0.05205862644624281,1.7722647019632511,3,25,0.5,4,0.1,0.1525343295841776,25,8,4,54.7
181,0.5983722353813694,0.9650735712867652,0.0,0.06371560409013807,0.23975215721085455,0.355610435400983,0.08468934722647045,1.6649605975661907,3,15,0.5,3,0.15,0.08324208756657539,15,2,3,48.3
177,0.6181456517799078,0.968710699544154,0.0,0.06977303787993275,0.21985574759168827,0.29728496834621176,0.04329892439514766,1.7496655852795548,3,25,0.5,4,0.1,0.19725554622354896,25,10,4,59.8
120,0.6150952356147826,0.9635541774676125,0.0,0.139806205259368,0.22600913984104112,0.2641417035729638,0.023055776299925893,1.6883200580942885,3,80,0.5,4,0.15,0.1992232088912419,80,105,4,70.5
111,0.574978573124335,0.9682535216286554,0.0,0.08872290904343667,0.2185858953027848,0.3056862496173557,0.06390663307223951,1.64646187810126,5,15,0.4599410819570504,4,0.1,0.3,13,2,4,48.2
151,0.6308619178088689,0.9685801389592051,0.0,0.07027032532931729,0.21336641779854426,0.29818346353082775,0.10587813315006508,1.8081060433925584,3,25,0.2,4,0.2,0.14613843625929934,10,8,4,48.3
104,0.6069048871542733,0.9673549143233384,0.0,0.08691938955794198,0.22647624856291212,0.3122131164268295,0.18658595558041216,1.7620870361558634,3,25,0.2,4,0.2,0.05,10,3,4,34.8
191,0.6401913714784567,0.961070642750871,0.010471204188481676,0.06033351725289232,0.26406389141875175,0.314269279577103,0.027862644063476123,1.7330431589174287,3,40,0.5,4,0.15,0.3,40,40,4,63.6
167,0.6163123012488233,0.9681317143390546,0.0,0.05771581278284201,0.2237289366544923,0.29491650801903346,0.05087133037325657,1.761695192894208,3,25,0.5,4,0.1,0.15181878938681725,25,8,4,57.0
166,0.6358905088543361,0.9643160464363031,0.024096385542168676,0.08152164159982905,0.23840683403392293,0.3077584502493263,0.05158024300977485,1.7172590984704925,3,25,0.2504212679557991,4,0.2,0.3,12,16,4,62.0
155,0.6062413004850933,0.9688528408015703,0.0,0.0563390756073848,0.21366783163859543,0.30600890139222336,0.0938661362320912,1.7590866170688966,3,25,0.3319615267422633,4,0.2,0.12783595822041485,16,7,4,48.2
10,0.6133054911986456,0.96679815638829,0.0,0.2220014194573668,0.2317377049128911,0.3290125186867693,0.050772325373423216,1.5519125108717111,12,40,0.2,4,0.1,0.3,16,3,4,38.9
152,0.6354804574000119,0.9590477234587331,0.0,0.05979578764272636,0.2761301020061761,0.384777161081423,0.10654324790687573,1.700642262484957,3,25,0.2,3,0.15,0.15905777113519942,10,8,3,44.9
117,0.5881747646077782,0.9674895346159524,0.0,0.06701156066045871,0.2257581728251231,0.3309728498753724,0.12456272264176223,1.695256928203997,4,15,0.2,4,0.3,0.1738986648095599,6,2,4,49.5
83,0.6042498679972194,0.9691559717777853,0.0,0.10334429920788898,0.21414974993818642,0.33552566926223576,0.06687952883954475,1.6651506287527784,3,25,0.5,4,0.25,0.05,25,3,4,36.9
185,0.583650514184042,0.9684446483785725,0.0,0.06386087478893537,0.2206200000460292,0.31751742872730443,0.058477711008670705,1.6732962287117372,3,15,0.5,4,0.15,0.15242741085177736,15,3,4,60.0
89,0.6310470444048016,0.9641365430398773,0.0,0.14598573932668368,0.2305446013849421,0.25024434659093364,0.05413300857992747,1.7417947495293558,3,80,0.24552296591939102,4,0.1,0.1215458800034042,39,64,4,58.0
68,0.6210514809123288,0.9611131794876322,0.0,0.12166028976261371,0.24185385700439302,0.34023385528478617,0.02145192671795137,1.6311210311216688,3,80,0.5,3,0.2,0.1211843996387742,80,64,3,60.4
188,0.5841800935378113,0.9686401345180857,0.0,0.05683136535474155,0.21936128518905712,0.314019136902338,0.05939838009319054,1.686168366788696,3,15,0.5,4,0.1,0.13753838788178102,15,3,4,59.9
148,0.6163968842205868,0.9681944672376863,0.0,0.06672458964206929,0.22409638109263433,0.2863729667103856,0.051507557145931936,1.7615962673530543,3,25,0.5,4,0.1,0.14046746270029883,25,7,4,50.9
