n_neurons,Q,F,D,Psi,B,Phi,N,composite_score,gSig,rf,overlap_fraction,nb,decay_time,occupancy_frac,stride,K,nb_patch,runtime_s
19,0.6035231816571599,0.956191009325549,0.0,0.31860648691530197,0.3009116554439322,0.5051477836138016,0.0385052633831075,1.2082799060803529,10,20,0.43390730008183087,2,0.3,0.07499372895450074,17,1,2,41.0
35,0.5910173999846591,0.9556358406481072,0.0,0.1437528306749739,0.30785107962296754,0.38128331425359174,0.05781957088882622,1.4876187413217892,7,25,0.24286004537658226,2,0.2,0.2304996930667062,12,3,2,40.5
10,0.6586559921081923,0.9563041524384204,0.0,0.30675744160103563,0.3083828396334568,0.5243442589182536,0.0204506104712908,1.2985483215544324,11,22,0.4976634677873653,2,0.35,0.051766576304929354,21,1,2,37.2
92,0.6478579471140622,0.8902319198370904,0.0,0.08908837095171601,0.47632194921045856,0.6614125188693327,0.06364526516035618,1.229108582219115,3,40,0.31995829151457666,1,0.4,0.10819283510757607,25,14,1,31.9
87,0.6114374280224144,0.9471195432521949,0.0,0.09595203725345308,0.32676901615264614,0.4491899130831259,0.03632208919740274,1.479628985482823,4,60,0.31473859738014887,2,0.3,0.2649851016840802,37,48,2,49.5
15,0.5622355761112188,0.9511127636856217,0.0,0.1876994708212858,0.3131103613234362,0.47845599633970004,0.08503704268591214,1.2953917894283113,12,25,0.2,2,0.2,0.05,10,1,2,32.1
31,0.5381177311246886,0.9554599870296285,0.0,0.1433386710018536,0.3039189037989231,0.4057038667717747,0.03386451395275632,1.3476257165822942,6,25,0.31632764649015677,2,0.2,0.24813264441949234,15,4,2,38.4
8,0.6447275100998748,0.9487581805740025,0.0,0.3753317428593965,0.30629823640232184,0.6180181518304826,0.0179780122954083,1.1007031940304166,10,60,0.33608714699822617,2,0.25,0.28567342937351575,40,9,2,37.8
38,0.6015488468599971,0.9537109511758712,0.0,0.13961782317681162,0.2994269151912218,0.4530437093063329,0.023472356185142127,1.4261698329096812,5,80,0.24596791713212565,2,0.3,0.3,39,64,2,56.1
120,0.6194187765778837,0.8920168516364618,0.0,0.06669430098222304,0.47020430096700705,0.5979831961232788,0.032700461310934625,1.247424987858691,4,25,0.48402567850598793,1,0.3,0.29999702570889397,24,10,1,51.0
4,0.5641145518663423,0.8850055967133346,0.0,0.0,0.47920592133842344,0.43637075377786394,0.017621601349819518,1.3460717866738532,12,80,0.2931574204462555,1,0.25,0.20753237713901734,46,9,1,33.2
7,0.6284404504230351,0.9544190363079664,0.0,0.23916582452701954,0.306049333132269,0.6442657307827996,0.028399474521697977,1.1890434525389315,12,40,0.2689991964839641,2,0.35,0.3,21,3,2,33.5
30,0.5505869688251988,0.9473646126883363,0.0,0.14167388710496565,0.34492898879886513,0.4414146578702522,0.040821994520255124,1.3133965082242112,7,60,0.24394632445337566,2,0.4,0.3,29,20,2,41.4
8,0.5378858989661064,0.9499420165057589,0.0,0.3347639814722848,0.3171766083870419,0.405730872517471,0.015504186535965254,1.1343827495226777,11,60,0.4402019732284547,2,0.35,0.3,52,8,2,37.1
24,0.550285213289507,0.9527316664752183,0.0,0.20066300107762253,0.30439907088143286,0.4436551172315919,0.13279147398181207,1.3231801762952076,8,25,0.22907034986688107,2,0.2,0.07479087796545618,11,1,2,28.7
38,0.5965542468031068,0.9512281333388642,0.02631578947368421,0.13812051131951655,0.3056505768749398,0.4070490441448596,0.0722747910720609,1.443005494368736,7,25,0.21994717670120875,2,0.2,0.2250611802128225,10,3,2,37.0
26,0.5433489620532218,0.9507277125645531,0.0,0.247611838840479,0.3148949498150992,0.49334916110119437,0.04953393512227663,1.163784129382912,8,25,0.3513797305011622,2,0.2,0.24173034967429363,17,2,2,31.6
88,0.6314968082044501,0.9458988953282816,0.0,0.1379579920512865,0.34150785620635693,0.48143031794111724,0.051776269523719935,1.4446384084034598,4,60,0.2600108009354345,2,0.3,0.25237536780084613,31,46,2,49.6
147,0.6481367516325719,0.9494785839956623,0.013605442176870748,0.09943796467323468,0.3136727266674593,0.4370611886626691,0.040273899137939946,1.5521453568948367,3,60,0.310917855668418,2,0.3,0.24464616791816596,37,73,2,55.7
136,0.6486146653587985,0.9484135367176612,0.0,0.08088137080360469,0.3219578556281707,0.4187420342523264,0.046743904586908344,1.608412486858696,3,60,0.31413777026582185,2,0.3,0.19370414648742768,37,58,2,53.6
