n_neurons,Q,F,D,Psi,B,Phi,N,composite_score,gSig,rf,overlap_fraction,nb,decay_time,occupancy_frac,stride,K,nb_patch,runtime_s
27,0.5053417362601403,0.9683443785717326,0.0,0.29400301890691277,0.2199472958993138,0.32081496880176524,0.05428468348707273,1.2813785571772147,10,20,0.43390730008183087,4,0.2,0.07499372895450074,17,1,4,45.1
39,0.558621464487285,0.9674071385758047,0.0,0.15869046742280485,0.22986739110116752,0.2690547685689648,0.06421959273429378,1.5740809323751683,7,25,0.24286004537658226,4,0.1,0.2304996930667062,12,3,4,41.1
16,0.5401346785477623,0.9679936541363376,0.0,0.24313879897193225,0.22489893841861772,0.38073950622747044,0.032523191705560034,1.3281968326759306,11,22,0.4976634677873653,4,0.25,0.051766576304929354,21,1,4,40.3
79,0.6371625055381009,0.9647022791973239,0.0,0.09197322866915186,0.22458228625213514,0.3797125453290628,0.05489394710744981,1.6824973467029685,3,40,0.31995829151457666,3,0.3,0.10819283510757607,25,14,3,40.6
84,0.6160004614571843,0.9649772170172022,0.0,0.10377619716847747,0.23978249888789546,0.2962223669351516,0.0350913198112701,1.6946339862896291,4,60,0.31473859738014887,4,0.2,0.2649851016840802,37,48,4,54.1
14,0.5692087928031989,0.9617732743536139,0.0,0.21398879801050832,0.23380900343757455,0.23390246420434904,0.030771658666753687,1.5507809253597438,12,60,0.44268699598878913,4,0.2,0.3,53,7,4,46.1
128,0.6332182048850051,0.9674238602626287,0.0,0.10473262631164704,0.209831375813238,0.26171765907133304,0.0637666183589893,1.7943776059225343,4,60,0.238964659432356,4,0.2,0.3,28,54,4,58.5
14,0.5600834260324073,0.9613591850631524,0.0,0.32656753503831526,0.24440126773318854,0.3159333352415846,0.054067221270275766,1.343858143616611,12,60,0.2,4,0.2,0.3,24,7,4,39.5
121,0.6405826605525292,0.954355230384077,0.008264462809917356,0.0668866407843248,0.30607658933153015,0.29716043997597386,0.06038252037474875,1.73622974203557,4,60,0.21461401779788145,4,0.2,0.3,25,54,4,58.2
168,0.6412009688863974,0.9641408956172749,0.011904761904761904,0.06783784878548818,0.2528156037369069,0.30324892380508317,0.05055227916283128,1.756467255655318,3,60,0.2,4,0.2,0.3,24,90,4,62.8
